observation,year,month,date,Area,Rainfall,Daylight,Population,CO2,Ozone,OceanTemperature_NorthernHemisphere,LandTemperature_NorthernHemisphere,MaxTemperature_NorthSlopeAlaska,AvgTemperature_NorthSlopeAlaska,MinTemperature_NorthSlopeAlaska,GDP_WORLD
40,0,0,45383,0,0.05,0.649,1.082296935,1.110553633,0.691304154,0.8344,0.6757,0,0,0.3883,1.125361104
41,0,0,45413,0,0.2,0.851,1.08426334,1.110059318,0.578843234,0.8344,0.6857,0,0,0.7263,1.129338016
42,0,0,45444,0,0.65,1,1.086229744,1.102026693,0.421674855,0.8656,0.6907,0,0,0.8643,1.133314927
43,0,0,45474,0,1,0.914,1.088196148,1.08200692,0.264015185,0.8344,0.7559,0,0,0.9135,1.137291839
44,0,0,45505,0,0.85,0.713,1.090162552,1.058403361,0.120200983,0.8109,0.8085,0,0,0.8538,1.141268751
45,0,0,45536,0,0.4,0.517,1.092128956,1.046539792,0.049365788,0.8422,0.7709,0,0,0.7205,1.145245662
46,0,0,45566,0,0.35,0.322,1.09409536,1.046663371,0.102518982,0.7797,0.7133,0,0,0.5567,1.149222574
47,0,0,45597,0,0.2,0.132,1.096061764,1.068042511,0.267815989,0.8031,0.9739,0,0,0.3719,1.153199485
48,0,0,45627,0,0.25,0,1.098028169,1.086702916,0.445663243,0.8188,0.7333,0,0,0.2702,1.157176397
49,0,0,45658,0,0.1,0.08,1.099994573,1.08615917,0.458928093,0.8344,0.7835,0,0,0.2,1.160968906
50,0,0,45689,0,0.1,0.264,1.101960977,1.092585269,0.619044216,0.7797,0.6256,0,0,0.2526,1.165649319
51,0,0,45717,0,0,0.454,1.103927381,1.099752842,0.672907548,0.8031,0.796,0,0,0.2561,1.170329733
52,0,0,45748,0,0.05,0.649,1.105893785,1.124962926,0.682956677,0.725,0.6782,0,0,0.3626,1.175010147
53,0,0,45778,0,0.2,0.851,1.107860189,1.130029659,0.551514069,0.8188,0.806,0,0,0.6222,1.179690561
54,0,0,45809,0,0.65,1,1.109826594,1.121749876,0.373845467,0.7719,0.6857,0,0,0.869,1.184370975
55,0,0,45839,0,1,0.914,1.111792998,1.099382106,0.176167932,0.8188,0.6581,0,0,0.9298,1.189051389
56,0,0,45870,0,0.85,0.713,1.113759402,1.076272862,0.092201876,0.7641,0.7033,0,0,0.8713,1.193731802
57,0,0,45901,0,0.4,0.517,1.115725806,1.06255561,0.051424743,0.8031,0.6206,0,0,0.7754,1.198412216
58,0,0,45931,0,0.35,0.322,1.11769221,1.06255561,0.05057615,0.7328,0.6356,0,0,0.4421,1.20309263
59,0,0,45962,0,0.2,0.132,1.119658614,1.08393475,0.197963377,0.6938,0.5704,0,0,0.2982,1.207773044
60,0,0,45992,0,0.25,0,1.121625018,1.102595156,0.271701653,0.6703,0.4,0,0,0.2795,1.212453458
61,0,0,46023,0,0.1,0.08,1.123591423,1.117795353,0.535886556,0.6859,0.7308,0,0,0.1357,1.216430369
62,0,0,46054,0,0.1,0.264,1.125557827,1.121749876,0.75861992,0.7016,0.5053,0,0,0.2117,1.220407281
63,0,0,46082,0,0,0.454,1.127524231,1.131141869,0.750759268,0.6859,0.7008,0,0,0.2234,1.224384192
64,0,0,46113,0,0.05,0.649,1.129490635,1.160553633,0.671304154,0.6,0.7358,0,0,0.448,1.228361104
65,0,0,46143,0,0.2,0.851,1.131457039,1.160059318,0.558843234,0.7094,0.7233,0,0,0.6327,1.232338016
66,0,0,46174,0,0.65,1,1.133423443,1.152026693,0.401674855,0.7484,0.6857,0,0,0.8585,1.236314927
67,0,0,46204,0,1,0.914,1.135389848,1.13200692,0.244015185,0.7406,0.608,0,0,0.9146,1.240291839
68,0,0,46235,0,0.85,0.713,1.137356252,1.108403361,0.100200983,0.7016,0.6832,0,0,0.8702,1.244268751
69,0,0,46266,0,0.4,0.517,1.139322656,1.096539792,0.029365788,0.7875,0.6281,0,0,0.6971,1.248245662
70,0,0,46296,0,0.35,0.322,1.14128906,1.096663371,0.092518982,0.7328,0.6481,0,0,0.4526,1.252222574
71,0,0,46327,0,0.2,0.132,1.143255464,1.118042511,0.257815989,0.8266,0.6256,0,0,0.3825,1.256199485
72,0,0,46357,0,0.25,0,1.145221868,1.136702916,0.435663243,0.8188,0.7158,0,0,0.3497,1.260176397
73,0,0,46388,0,0.1,0.08,1.147188272,1.13615917,0.448928093,0.725,0.8962,0,0,0.1883,1.262968906
74,0,0,46419,0,0.1,0.264,1.149154677,1.142585269,0.609044216,0.8031,0.8035,0,0,0.1032,1.267649319
75,0,0,46447,0,0,0.454,1.151121081,1.149752842,0.662907548,0.7328,0.8286,0,0,0.2339,1.272329733
76,0,0,46478,0,0.05,0.649,1.153087485,1.174962926,0.662956677,0.7797,0.7784,0,0,0.2842,1.277010147
77,0,0,46508,0,0.2,0.851,1.155053889,1.180029659,0.531514069,0.8422,0.7308,0,0,0.6117,1.281690561
78,0,0,46539,0,0.65,1,1.157020293,1.171749876,0.353845467,0.8188,0.7233,0,0,0.8713,1.286370975
79,0,0,46569,0,1,0.914,1.158986697,1.149382106,0.156167932,0.7875,0.6531,0,0,0.917,1.291051389
80,0,0,46600,0,0.85,0.713,1.160953101,1.126272862,0.072201876,0.8188,0.6832,0,0,0.8667,1.295731802
81,0,0,46631,0,0.4,0.517,1.162919506,1.11255561,0.031424743,0.8031,0.6481,0,0,0.7789,1.300412216
82,0,0,46661,0,0.35,0.322,1.16488591,1.11255561,0.03057615,0.8031,0.6807,0,0,0.5673,1.30509263
83,0,0,46692,0,0.2,0.132,1.166852314,1.13393475,0.177963377,0.8109,0.6231,0,0,0.2503,1.309773044
84,0,0,46722,0,0.25,0,1.168818718,1.152595156,0.251701653,0.8031,0.6807,0,0,0.193,1.314453458
85,0,0,46753,0,0.1,0.08,1.170785122,1.167795353,0.525886556,0.7641,0.7734,0,0,0.3591,1.318430369
86,0,0,46784,0,0.1,0.264,1.172751526,1.171749876,0.74861992,0.7406,1.014,0,0,0.1333,1.322407281
87,0,0,46813,0,0,0.454,1.174717931,1.181141869,0.740759268,0.85,0.6556,0,0,0.262,1.326384192
88,0,0,46844,0,0.05,0.649,1.176684335,1.210553633,0.661304154,0.8031,0.6807,0,0,0.2503,1.330361104
89,0,0,46874,0,0.2,0.851,1.178650739,1.210059318,0.548843234,0.8969,0.7634,0,0,0.6643,1.334338016
90,0,0,46905,0,0.65,1,1.180617143,1.202026693,0.391674855,0.9047,0.7008,0,0,0.8655,1.338314927
91,0,0,46935,0,1,0.914,1.182583547,1.18200692,0.224015185,0.9438,0.7584,0,0,0.9088,1.342291839
92,0,0,46966,0,0.85,0.713,1.184549951,1.158403361,0.080200983,0.9984,0.7484,0,0,0.8772,1.346268751
93,0,0,46997,0,0.4,0.517,1.186516355,1.146539792,0.009365788,1.0141,0.786,0,0,0.7485,1.350245662
94,0,0,47027,0,0.35,0.322,1.18848276,1.146663371,0.072518982,0.9828,0.6632,0,0,0.4865,1.354222574
95,0,0,47058,0,0.2,0.132,1.190449164,1.168042511,0.237815989,0.9828,0.6155,0,0,0.3591,1.358199485
96,0,0,47088,0,0.25,0,1.192415568,1.186702916,0.415663243,0.9672,0.9263,0,0,0.3357,1.362176397
97,0,0,47119,0,0.1,0.08,1.194381972,1.18615917,0.428928093,1.0219,0.8612,0,0,0.1825,1.365968906
98,0,0,47150,0,0.1,0.264,1.196348376,1.192585269,0.589044216,1.0063,0.7409,0,0,0.2936,1.370649319
99,0,0,47178,0,0,0.454,1.19831478,1.199752842,0.642907548,0.9984,0.8386,0,0,0.1661,1.375329733
100,0,0,47209,0,0.05,0.649,1.200281185,1.224962926,0.652956677,0.9594,0.8511,0,0,0.2842,1.380010147
101,0,0,47239,0,0.2,0.851,1.202247589,1.230029659,0.521514069,0.9438,0.806,0,0,0.6433,1.384690561
102,0,0,47270,0,0.65,1,1.204213993,1.221749876,0.343845467,0.9125,0.8436,0,0,0.869,1.389370975
103,0,0,47300,0,1,0.914,1.206180397,1.199382106,0.146167932,0.975,0.8211,0,0,0.9298,1.394051389
104,0,0,47331,0,0.85,0.713,1.208146801,1.176272862,0.062201876,0.9281,0.7559,0,0,0.8655,1.398731802
105,0,0,47362,0,0.4,0.517,1.210113205,1.16255561,0.021424743,0.8578,0.7835,0,0,0.7836,1.403412216
106,0,0,47392,0,0.35,0.322,1.212079609,1.16255561,0.01057615,0.8109,0.7559,0,0,0.4877,1.40809263
107,0,0,47423,0,0.2,0.132,1.214046014,1.18393475,0.157963377,0.6859,0.7784,0,0,0.2959,1.412773044
108,0,0,47453,0,0.25,0,1.216012418,1.202595156,0.231701653,0.7328,0.9338,0,0,0.2901,1.417453458
109,0,0,47484,0,0.1,0.08,1.217978822,1.217795353,0.505886556,0.6859,0.7258,0,0,0.2316,1.421430369
110,0,0,47515,0,0.1,0.264,1.219945226,1.221749876,0.72861992,0.8578,0.801,0,0,0.1474,1.425407281
111,0,0,47543,0,0,0.454,1.22191163,1.231141869,0.720759268,0.8188,0.8762,0,0,0.2292,1.429384192
112,0,0,47574,0,0.05,0.649,1.223878034,1.260553633,0.641304154,0.8891,0.7484,0,0,0.3216,1.433361104
113,0,0,47604,0,0.2,0.851,1.225844439,1.260059318,0.528843234,0.8578,0.7609,0,0,0.669,1.437338016
114,0,0,47635,0,0.65,1,1.227810843,1.252026693,0.371674855,0.9281,0.7158,0,0,0.869,1.441314927
115,0,0,47665,0,1,0.914,1.229777247,1.23200692,0.214015185,0.975,0.7534,0,0,0.9404,1.445291839
116,0,0,47696,0,0.85,0.713,1.231743651,1.208403361,0.070200983,0.9672,0.7258,0,0,0.8994,1.449268751
117,0,0,47727,0,0.4,0.517,1.233710055,1.196539792,-0.000634212,0.9203,0.7283,0,0,0.738,1.453245662
118,0,0,47757,0,0.35,0.322,1.235676459,1.196663371,0.062518982,0.8578,0.7584,0,0,0.607,1.457222574
119,0,0,47788,0,0.2,0.132,1.237642863,1.218042511,0.227815989,0.8344,0.6957,0,0,0.3404,1.461199485
120,0,0,47818,0,0.25,0,1.239609268,1.236702916,0.405663243,0.8656,0.8687,0,0,0.2686,1.465176397
