observation,year,month,date,Area,Rainfall,Daylight,Population,CO2,Ozone,OceanTemperature_NorthernHemisphere,LandTemperature_Northern Hemisphere,MaxTemperature_NorthSlopeAlaska,AvgTemperature_NorthSlopeAlaska,MinTemperature_NorthSlopeAlaska,GDP_WORLD
77,1986,5,01/05/1986,0.721,0.2,0.925,0.1537,0.17659,0.61639,0.2422,0.3308,0.6268,0.6392,0.6433,0.04749095
78,1986,6,01/06/1986,0.573,0.65,1.088,0.1559,0.17029,0.40965,0.2188,0.3233,0.856,0.8683,0.869,0.04998721
79,1986,7,01/07/1986,0.366,1,0.994,0.1581,0.14842,0.21912,0.1875,0.2531,0.938,0.9404,0.9298,0.05248347
80,1986,8,01/08/1986,0.226,0.85,0.775,0.1603,0.12259,0.11443,0.2188,0.2832,0.8416,0.8591,0.8655,0.05497974
81,1986,9,01/09/1986,0.201,0.4,0.563,0.1625,0.11209,0.09477,0.2031,0.2481,0.7619,0.7778,0.7836,0.057476
82,1986,10,01/10/1986,0.385,0.35,0.35,0.1647,0.10344,0.09192,0.2031,0.2807,0.4839,0.4891,0.4877,0.05997226
83,1986,11,01/11/1986,0.562,0.2,0.144,0.1669,0.12074,0.24176,0.2109,0.2231,0.2913,0.2955,0.2959,0.06246853
84,1986,12,01/12/1986,0.707,0.25,0,0.1692,0.1368,0.33435,0.2031,0.2807,0.2924,0.2932,0.2901,0.06496479
85,1987,1,01/01/1987,0.826,0.1,0.088,0.1714,0.15213,0.75194,0.1641,0.3734,0.2337,0.2337,0.2316,0.0672005
86,1987,2,01/02/1987,0.923,0.1,0.288,0.1736,0.15546,1,0.1406,0.614,0.1661,0.1581,0.1474,0.06943621
87,1987,3,01/03/1987,0.907,0,0.494,0.1758,0.16782,0.77285,0.25,0.2556,0.2735,0.2543,0.2292,0.07167192
88,1987,4,01/04/1987,0.865,0.05,0.706,0.178,0.18735,0.7142,0.2031,0.2807,0.3765,0.3517,0.3216,0.07390762
89,1987,5,01/05/1987,0.745,0.2,0.925,0.1802,0.19661,0.61344,0.2969,0.3634,0.6567,0.6667,0.669,0.07614333
90,1987,6,01/06/1987,0.607,0.65,1.088,0.1825,0.18994,0.49942,0.3047,0.3008,0.856,0.8683,0.869,0.07837904
91,1987,7,01/07/1987,0.36,1,0.994,0.1846,0.17252,0.28057,0.3438,0.3584,0.9358,0.945,0.9404,0.08061475
92,1987,8,01/08/1987,0.321,0.85,0.775,0.1869,0.14681,0.17477,0.3984,0.3484,0.8682,0.89,0.8994,0.08285046
93,1987,9,01/09/1987,0.281,0.4,0.563,0.1891,0.12815,0.13417,0.4141,0.386,0.6777,0.7125,0.738,0.08508617
94,1987,10,01/10/1987,0.442,0.35,0.35,0.1913,0.12902,0.20076,0.3828,0.2632,0.5626,0.5888,0.607,0.08732188
95,1987,11,01/11/1987,0.637,0.2,0.144,0.1935,0.14595,0.36297,0.3828,0.2155,0.2935,0.3184,0.3404,0.08955759
96,1987,12,01/12/1987,0.748,0.25,0,0.1957,0.16078,0.53131,0.3672,0.5263,0.2447,0.2497,0.2526,0.09179329
97,1988,1,01/01/1988,0.86,0.1,0.088,0.1982,0.17598,0.5213,0.4219,0.4612,0.2569,0.2612,0.262,0.09398679
98,1988,2,01/02/1988,0.971,0.1,0.288,0.2006,0.19142,0.60138,0.4063,0.3409,0.2536,0.2383,0.2164,0.09618028
99,1988,3,01/03/1988,1,0,0.494,0.2031,0.20082,0.82278,0.3984,0.4386,0.2935,0.2749,0.2503,0.09837378
100,1988,4,01/04/1988,0.937,0.05,0.706,0.2056,0.21676,0.8879,0.3594,0.4511,0.4629,0.4536,0.4374,0.10056727
101,1988,5,01/05/1988,0.783,0.2,0.925,0.208,0.22318,0.64073,0.3438,0.406,0.6512,0.6781,0.6971,0.10276077
102,1988,6,01/06/1988,0.633,0.65,1.088,0.2105,0.2175,0.41889,0.3125,0.4436,0.8494,0.866,0.8725,0.10495426
103,1988,7,01/07/1988,0.4,1,0.994,0.2129,0.2044,0.23283,0.375,0.4211,0.9391,0.9439,0.9345,0.10714776
104,1988,8,01/08/1988,0.262,0.85,0.775,0.2153,0.1761,0.13234,0.3281,0.3559,0.845,0.8706,0.8854,0.10934125
105,1988,9,01/09/1988,0.257,0.4,0.563,0.2178,0.15781,0.08682,0.2578,0.3835,0.7054,0.7308,0.7474,0.11153475
106,1988,10,01/10/1988,0.445,0.35,0.35,0.2203,0.16041,0.11822,0.2109,0.3559,0.3898,0.3998,0.4035,0.11372824
107,1988,11,01/11/1988,0.653,0.2,0.144,0.2228,0.17363,0.19299,0.0859,0.3784,0.1728,0.1924,0.2117,0.11592174
108,1988,12,01/12/1988,0.834,0.25,0,0.2252,0.18858,0.19075,0.1328,0.5338,0.2813,0.2829,0.2807,0.11811523
109,1989,1,01/01/1989,0.937,0.1,0.088,0.2274,0.20712,0.50464,0.0859,0.3258,0.062,0.055,0.048,0.11902058
110,1989,2,01/02/1989,0.953,0.1,0.288,0.2296,0.21169,0.99308,0.2578,0.401,0.515,0.4926,0.4632,0.11992592
111,1989,3,01/03/1989,0.94,0,0.494,0.2318,0.22022,0.91697,0.2188,0.4762,0.3289,0.2978,0.262,0.12083126
112,1989,4,01/04/1989,0.866,0.05,0.706,0.234,0.24086,0.77946,0.2891,0.3484,0.5305,0.5223,0.5064,0.1217366
113,1989,5,01/05/1989,0.778,0.2,0.925,0.2362,0.24357,0.59848,0.2578,0.3609,0.6323,0.6449,0.6491,0.12264194
114,1989,6,01/06/1989,0.656,0.65,1.088,0.2384,0.23752,0.41402,0.3281,0.3158,0.8726,0.8832,0.883,0.12354729
115,1989,7,01/07/1989,0.428,1,0.994,0.2407,0.22046,0.24332,0.375,0.3534,0.9734,0.9794,0.9708,0.12445263
116,1989,8,01/08/1989,0.274,0.85,0.775,0.2429,0.19352,0.12425,0.3672,0.3258,0.9225,0.9473,0.9591,0.12535797
117,1989,9,01/09/1989,0.213,0.4,0.563,0.2451,0.17177,0.07633,0.3203,0.3283,0.7497,0.7801,0.8012,0.12626331
118,1989,10,01/10/1989,0.396,0.35,0.35,0.2473,0.17425,0.12014,0.2578,0.3584,0.5249,0.5498,0.5684,0.12716866
119,1989,11,01/11/1989,0.614,0.2,0.144,0.2495,0.18957,0.23269,0.2344,0.2957,0.1938,0.2005,0.2047,0.128074
120,1989,12,01/12/1989,0.801,0.25,0,0.2517,0.20638,0.23939,0.2656,0.4687,0.268,0.2761,0.2795,0.12897934
121,1990,1,01/01/1990,0.904,0.1,0.088,0.2539,0.21812,0.43484,0.2656,0.411,0.0764,0.079,0.0807,0.1317051
122,1990,2,01/02/1990,0.958,0.1,0.288,0.2562,0.23344,0.69611,0.2734,0.4536,0.0509,0.0378,0.0234,0.13443086
123,1990,3,01/03/1990,0.966,0,0.494,0.2584,0.24197,0.531,0.4609,0.7769,0.3333,0.3127,0.2865,0.13715662
124,1990,4,01/04/1990,0.859,0.05,0.706,0.2606,0.24913,0.52233,0.4609,0.4787,0.5581,0.5361,0.5041,0.13988239
125,1990,5,01/05/1990,0.739,0.2,0.925,0.2628,0.26162,0.49348,0.4141,0.411,0.7564,0.756,0.7439,0.14260815
126,1990,6,01/06/1990,0.591,0.65,1.088,0.265,0.24951,0.3724,0.3828,0.4236,0.8948,0.8946,0.8819,0.14533391
127,1990,7,01/07/1990,0.358,1,0.994,0.2672,0.23097,0.24806,0.4297,0.3133,0.9657,0.9714,0.9626,0.14805967
128,1990,8,01/08/1990,0.225,0.85,0.775,0.2695,0.20835,0.13484,0.4297,0.3684,0.8793,0.8992,0.9076,0.15078543
129,1990,9,01/09/1990,0.186,0.4,0.563,0.2717,0.18735,0.05931,0.4297,0.3709,0.6988,0.7251,0.7427,0.15351119
130,1990,10,01/10/1990,0.377,0.35,0.35,0.2739,0.19118,0.08669,0.4297,0.4035,0.5006,0.5178,0.5298,0.15623695
131,1990,11,01/11/1990,0.629,0.2,0.144,0.2761,0.2091,0.19897,0.3828,0.4561,0.2591,0.26,0.2561,0.15896271
132,1990,12,01/12/1990,0.789,0.25,0,0.2783,0.22467,0.31331,0.3203,0.4386,0.1628,0.1592,0.1532,0.16168848
133,1991,1,01/01/1991,0.884,0.1,0.088,0.2803,0.23097,0.63327,0.3984,0.4612,0.2558,0.2451,0.2316,0.16312728
134,1991,2,01/02/1991,0.941,0.1,0.288,0.2823,0.24197,0.75596,0.3594,0.4912,0.1739,0.1638,0.1497,0.16456608
135,1991,3,01/03/1991,0.958,0,0.494,0.2842,0.2605,0.73662,0.3906,0.3534,0.2558,0.2337,0.2058,0.16600488
136,1991,4,01/04/1991,0.91,0.05,0.706,0.2862,0.27818,0.75766,0.4219,0.4887,0.4784,0.4651,0.4433,0.16744369
137,1991,5,01/05/1991,0.791,0.2,0.925,0.2881,0.28398,0.62559,0.375,0.3509,0.7087,0.7354,0.7532,0.16888249
138,1991,6,01/06/1991,0.631,0.65,1.088,0.2901,0.27163,0.4105,0.4063,0.4185,0.8959,0.9015,0.8959,0.17032129
139,1991,7,01/07/1991,0.379,1,0.994,0.292,0.24802,0.28048,0.4297,0.3784,0.9103,0.9141,0.9041,0.17176009
140,1991,8,01/08/1991,0.244,0.85,0.775,0.294,0.21898,0.13895,0.3672,0.3609,0.8494,0.8499,0.8386,0.1731989
141,1991,9,01/09/1991,0.183,0.4,0.563,0.296,0.19896,0.07195,0.3047,0.3734,0.7309,0.7526,0.7649,0.1746377
142,1991,10,01/10/1991,0.378,0.35,0.35,0.2979,0.2002,0.06315,0.25,0.3559,0.5382,0.5452,0.5439,0.1760765
143,1991,11,01/11/1991,0.595,0.2,0.144,0.2999,0.21824,0.13001,0.2969,0.3634,0.2558,0.2566,0.2538,0.1775153
144,1991,12,01/12/1991,0.764,0.25,0,0.3019,0.23443,0.21894,0.2422,0.3283,0.1373,0.1478,0.1556,0.17895411
145,1992,1,01/01/1992,0.888,0.1,0.088,0.3041,0.24839,0.44176,0.2422,0.5664,0.1949,0.2188,0.2409,0.1805498
146,1992,2,01/02/1992,0.972,0.1,0.288,0.3063,0.25902,0.48544,0.2656,0.4887,0.1296,0.1283,0.1251,0.18214549
147,1992,3,01/03/1992,0.963,0,0.494,0.3085,0.26829,0.64435,0.3359,0.4336,0.3079,0.2944,0.276,0.18374118
148,1992,4,01/04/1992,0.908,0.05,0.706,0.3107,0.28349,0.65583,0.2656,0.2882,0.4496,0.4318,0.4082,0.18533688
149,1992,5,01/05/1992,0.785,0.2,0.925,0.313,0.28967,0.54475,0.2891,0.2957,0.6312,0.6289,0.6164,0.18693257
150,1992,6,01/06/1992,0.656,0.65,1.088,0.3152,0.28646,0.3531,0.2969,0.2331,0.8882,0.8946,0.8889,0.18852826
151,1992,7,01/07/1992,0.419,1,0.994,0.3173,0.25779,0.18941,0.2266,0.1805,0.9801,0.9691,0.9439,0.19012395
152,1992,8,01/08/1992,0.264,0.85,0.775,0.3196,0.2322,0.11697,0.1641,0.2281,0.8671,0.8832,0.8889,0.19171965
153,1992,9,01/09/1992,0.263,0.4,0.563,0.3218,0.20761,0.08772,0.1328,0.1554,0.6124,0.6403,0.6608,0.19331534
154,1992,10,01/10/1992,0.464,0.35,0.35,0.324,0.21218,0.08044,0.0938,0.208,0.4651,0.48,0.4889,0.19491103
155,1992,11,01/11/1992,0.639,0.2,0.144,0.3262,0.22454,0.18638,0.0859,0.2281,0.3422,0.3425,0.338,0.19650673
156,1992,12,01/12/1992,0.81,0.25,0,0.3284,0.23999,0.21192,0.1484,0.401,0.2348,0.2291,0.2187,0.19810242
157,1993,1,01/01/1993,0.916,0.1,0.088,0.3304,0.25766,0.2962,0.2344,0.4536,0.2569,0.2509,0.2409,0.1985372
158,1993,2,01/02/1993,0.975,0.1,0.288,0.3324,0.26149,0.39848,0.2578,0.4962,0.2979,0.2829,0.2632,0.19897198
159,1993,3,01/03/1993,0.989,0,0.494,0.3343,0.27583,0.50179,0.1953,0.4962,0.3167,0.3013,0.2807,0.19940676
160,1993,4,01/04/1993,0.924,0.05,0.706,0.3363,0.28571,0.44618,0.2734,0.3258,0.5017,0.4948,0.4807,0.19984154
161,1993,5,01/05/1993,0.784,0.2,0.925,0.3382,0.29708,0.42032,0.3359,0.3409,0.68,0.6919,0.6936,0.20027632
162,1993,6,01/06/1993,0.596,0.65,1.088,0.3401,0.2888,0.37347,0.3203,0.3308,0.8893,0.8992,0.8959,0.20071111
163,1993,7,01/07/1993,0.337,1,0.994,0.3421,0.26174,0.2205,0.2344,0.2982,1,1,0.986,0.20114589
164,1993,8,01/08/1993,0.205,0.85,0.775,0.344,0.24086,0.05319,0.1797,0.2932,0.8295,0.8591,0.8784,0.20158067
165,1993,9,01/09/1993,0.189,0.4,0.563,0.346,0.22096,0,0.1875,0.2356,0.7021,0.732,0.752,0.20201545
166,1993,10,01/10/1993,0.405,0.35,0.35,0.348,0.22207,0.07749,0.1641,0.3008,0.5759,0.6048,0.6281,0.20245023
167,1993,11,01/11/1993,0.621,0.2,0.144,0.35,0.23801,0.25444,0.2031,0.1078,0.392,0.3895,0.3813,0.20288501
168,1993,12,01/12/1993,0.789,0.25,0,0.3519,0.25655,0.49142,0.1953,0.416,0.2802,0.299,0.3146,0.20331979
169,1994,1,01/01/1994,0.911,0.1,0.088,0.3539,0.27299,0.32314,0.2188,0.391,0.2458,0.252,0.255,0.20537338
170,1994,2,01/02/1994,0.967,0.1,0.288,0.3559,0.28139,0.38816,0.2578,0.1504,0.2481,0.2463,0.2421,0.20742698
171,1994,3,01/03/1994,0.97,0,0.494,0.3579,0.29461,0.59107,0.2734,0.4987,0.2193,0.2085,0.193,0.20948057
172,1994,4,01/04/1994,0.914,0.05,0.706,0.3599,0.30994,0.73926,0.3359,0.4261,0.4286,0.4238,0.4129,0.21153416
173,1994,5,01/05/1994,0.805,0.2,0.925,0.3618,0.31513,0.45096,0.2969,0.4261,0.66,0.6793,0.6889,0.21358775
174,1994,6,01/06/1994,0.633,0.65,1.088,0.3638,0.30475,0.39379,0.3203,0.4311,0.845,0.8568,0.8561,0.21564134
175,1994,7,01/07/1994,0.393,1,0.994,0.3658,0.28707,0.25159,0.3672,0.3459,0.9756,0.9714,0.9532,0.21769493
176,1994,8,01/08/1994,0.242,0.85,0.775,0.3678,0.26335,0.08021,0.3906,0.3484,0.887,0.9118,0.9251,0.21974852
177,1994,9,01/09/1994,0.237,0.4,0.563,0.3697,0.24197,0.01621,0.3594,0.3584,0.6822,0.7148,0.738,0.22180212
178,1994,10,01/10/1994,0.419,0.35,0.35,0.3716,0.24617,0.0745,0.4297,0.4411,0.4518,0.4731,0.4889,0.22385571
179,1994,11,01/11/1994,0.635,0.2,0.144,0.3736,0.26421,0.24645,0.3828,0.4561,0.2503,0.2509,0.2491,0.2259093
180,1994,12,01/12/1994,0.79,0.25,0,0.3755,0.28213,0.45029,0.3906,0.3634,0.2038,0.2039,0.2,0.22796289
181,1995,1,01/01/1995,0.903,0.1,0.088,0.3775,0.29375,0.35007,0.4219,0.5664,0.2436,0.2474,0.2468,0.23130803
182,1995,2,01/02/1995,0.954,0.1,0.288,0.3795,0.30536,0.37789,0.4453,0.7744,0.2425,0.2291,0.2105,0.23465317
183,1995,3,01/03/1995,0.951,0,0.494,0.3815,0.31735,0.49982,0.4063,0.5088,0.2447,0.2165,0.1836,0.23799831
184,1995,4,01/04/1995,0.869,0.05,0.706,0.3834,0.33552,0.64623,0.4609,0.4536,0.5194,0.5143,0.5018,0.24134345
185,1995,5,01/05/1995,0.739,0.2,0.925,0.3854,0.34034,0.4816,0.3672,0.391,0.7254,0.7434,0.752,0.24468859
186,1995,6,01/06/1995,0.568,0.65,1.088,0.3874,0.33416,0.38526,0.4063,0.4662,0.8605,0.8786,0.8854,0.24803373
187,1995,7,01/07/1995,0.326,1,0.994,0.3894,0.315,0.23993,0.4375,0.3634,0.9424,0.953,0.9509,0.25137887
188,1995,8,01/08/1995,0.198,0.85,0.775,0.3914,0.28386,0.10724,0.4766,0.4561,0.8549,0.8694,0.8725,0.25472401
189,1995,9,01/09/1995,0.176,0.4,0.563,0.3933,0.27212,0.03247,0.3906,0.4085,0.7829,0.8053,0.8175,0.25806915
190,1995,10,01/10/1995,0.312,0.35,0.35,0.3953,0.2699,0.0745,0.3906,0.4762,0.5238,0.5533,0.5766,0.26141428
191,1995,11,01/11/1995,0.576,0.2,0.144,0.3973,0.28794,0.22483,0.3906,0.4612,0.3477,0.3585,0.3637,0.26475942
192,1995,12,01/12/1995,0.755,0.25,0,0.3993,0.30314,0.40911,0.3516,0.4085,0.2137,0.2257,0.2351,0.26810456
193,1996,1,01/01/1996,0.848,0.1,0.088,0.4012,0.32032,0.37695,0.3438,0.2957,0.2403,0.2337,0.2246,0.26884111
194,1996,2,01/02/1996,0.92,0.1,0.288,0.4032,0.33478,0.36757,0.3594,0.4962,0.2292,0.205,0.1778,0.26957766
